model,template,hallucination_rate,accuracy,n_rows
llama3:8b,chain_of_thought,0.13953488372093023,0.8604651162790697,1634
llama3:8b,factual_direct,0.3182374541003672,0.6817625458996328,1634
llama3:8b,strict_abstain,0.39657282741738065,0.6034271725826194,1634
llama3:8b,concise_factual,0.5232558139534884,0.47674418604651164,1634
mistral:7b,chain_of_thought,0.14259485924112608,0.857405140758874,1634
mistral:7b,strict_abstain,0.17503059975520197,0.824969400244798,1634
mistral:7b,factual_direct,0.18115055079559364,0.8188494492044064,1634
mistral:7b,concise_factual,0.32068543451652387,0.6793145654834761,1634
phi3:mini,chain_of_thought,0.14137086903304774,0.8586291309669523,1634
phi3:mini,strict_abstain,0.27539779681762544,0.7246022031823746,1634
phi3:mini,factual_direct,0.42717258261933905,0.572827417380661,1634
phi3:mini,concise_factual,0.6138310893512852,0.38616891064871484,1634
